iter	Passed	Remaining
0	1	115
1	2	114
2	3	108
3	4	101
4	5	97
5	5	88
6	6	87
7	7	88
8	8	88
9	9	87
10	10	85
11	11	86
12	12	86
13	13	84
14	14	83
15	15	80
16	16	79
17	17	77
18	17	76
19	18	74
20	19	73
21	20	73
22	21	71
23	22	70
24	23	69
25	23	67
26	24	66
27	25	66
28	26	65
29	27	63
30	28	62
31	28	61
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	34	55
38	34	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	39	47
45	40	47
46	42	47
47	43	46
48	43	45
49	44	44
50	45	44
51	46	43
52	47	42
53	48	41
54	48	40
55	49	38
56	50	37
57	51	36
58	51	36
59	52	35
60	53	34
61	55	33
62	56	33
63	57	32
64	58	31
65	60	30
66	61	30
67	62	29
68	62	28
69	63	27
70	64	26
71	65	25
72	66	24
73	66	23
74	67	22
75	68	21
76	69	20
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	76	14
84	77	13
85	78	12
86	79	11
87	80	10
88	80	9
89	82	9
90	84	8
91	85	7
92	86	6
93	87	5
94	87	4
95	88	3
96	90	2
97	91	1
98	91	0
99	92	0
